Version,Learning rate,Keep rate,num_epochs,n_train,delta_theta,number of simulations,fiducial θ,differentiation fraction,input shape,number of summaries,calculate MLE,prebuild,save file,wv,bb,activation,α,hidden layers,Final detF train,Final detF test
2.0,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model2.0,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",37383484.0,2.24
2.1,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model2.1,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",365.15,0.43
2.2,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model2.2,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",15048308.0,0.12
3.0,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model3.0,0.0,0.1,leaky_relu,0.01,"[128, 128]",10.38,13.35
3.1,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model3.1,0.0,0.1,leaky_relu,0.01,"[128, 128]",199.35,21.78
3.2,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model3.2,0.0,0.1,leaky_relu,0.01,"[128, 128]",117.6,37.03
4.0,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model4.0,0.0,0.1,leaky_relu,0.01,"[256, 128]",36887.07,2.1
4.1,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model4.1,0.0,0.1,leaky_relu,0.01,"[256, 128]",227.44,5.21
4.2,0.0001,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model4.2,0.0,0.1,leaky_relu,0.01,"[256, 128]",18781.89,7.41
5.0,1e-05,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model5.0,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",40.78,38.65
5.1,1e-05,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model5.1,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",20.4,13.98
5.2,1e-05,0.6,10000,1,[0.1 0.1],1000,[0. 1.],0.2,[10],2,True,True,Models/data/model5.2,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",,
