Version,Learning rate,Keep rate,num_epochs,n_train,delta_theta,number of simulations,fiducial θ,differentiation fraction,input shape,number of summaries,calculate MLE,prebuild,save file,wv,bb,activation,α,hidden layers,Final detF train,Final detF test
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,1e-05,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1,0.0001,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",0.01,0.03
1,0.0001,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[10, 1, 2]",2,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",3.48,2.94
2,0.0001,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model2,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",207.24,238.52
3,0.0001,0.6,10000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model3,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",119.24,119.08
3,0.001,0.6,30000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model3,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
3,0.0005,0.6,30000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model3,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
3,0.0005,0.6,30000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model3,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
3,0.0005,0.6,1000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model3,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",2.58,2.32
4,0.0005,0.6,5000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",3973.5,935.76
5,0.0005,0.6,2000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",21.59,20.39
5,0.0005,0.6,2000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",34.34,27.61
5,0.0005,0.6,5000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",3032.11,1075.77
5,0.0005,0.6,5000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",254.25,297.04
5,0.0003,0.6,5000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",136.57,132.17
5,0.0003,0.6,50000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
5,0.0007,0.6,5000,1,[0.1 0.1],1000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",798282.56,10.8
5,0.0001,0.6,5000,1,[0.1 0.1],2000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
5,0.001,0.6,5000,1,[0.1 0.1],2000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
5,0.001,0.6,5000,1,[0.1 0.1],2000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",3134.85,894.83
6,0.001,0.6,6000,1,[0.1 0.1],3000,[1. 2.],0.05,"[100, 1, 2]",2,True,True,Models/data/model6,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",1824408423366656.0,436.39
7,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,"[1000, 1, 2]",2,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
7,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,"[1000, 1, 2]",2,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
