Version,Learning rate,Keep rate,num_epochs,n_train,delta_theta,number of simulations,fiducial θ,differentiation fraction,input shape,number of summaries,calculate MLE,prebuild,save file,wv,bb,activation,α,hidden layers,flatten,Final detF train,Final detF test
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,20,2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
10,0.001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,40226292609161625600.00,7.27
10,0.0001,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,25629.90,3.16
10,1e-05,0.6,6000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model10,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,0.07,0.04
11,1e-05,0.6,50000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model11,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,4866.73,5.67
11,1e-05,0.6,50000,1,[0.1 0.1],1000,[1. 2.],0.05,[20],2,True,True,Models/data/model11,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,102.72,72.22
12,1e-05,0.6,50000,1,[0.1 0.1],1000,[1. 2.],0.05,[200],2,True,True,Models/data/model12,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,1786155402371530752.00,205.4
12,1e-05,0.6,50000,1,[0.1 0.1],1000,[1. 2.],0.05,[200],2,True,True,Models/data/model12,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,,
12,1e-05,0.6,50000,1,[0.1 0.1],1000,[1. 2.],0.05,[200],2,True,True,Models/data/model12,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,2680537088.00,77.77
12,1e-05,0.6,50000,1,[0.1 0.1],1000,[1. 2.],0.05,[200],2,True,True,Models/data/model12,0.0,0.1,leaky_relu,0.01,"[256, 256, 256]",True,141502.45,328.12
