Version,Learning rate,Keep rate,num_epochs,n_train,delta_theta,number of simulations,fiducial θ,differentiation fraction,input shape,number of summaries,calculate MLE,prebuild,save file,wv,bb,activation,α,hidden layers,Final detF train,Final detF test
1000,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",2,True,True,Models/data/model1000,0.0,0.1,leaky_relu,0.01,"([[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100],)",,
1000,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",2,True,True,Models/data/model1000,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1000,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",2,True,True,Models/data/model1000,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1000,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[100, 1, 2]",2,True,True,Models/data/model1000,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1000,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[100, 1, 2]",1,True,True,Models/data/model1000,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1000,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",1,True,True,Models/data/model1000,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",,
1000,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",1,True,True,Models/data/model1000,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",1.07,1.3
1001,1e-05,0.6,10000,1,[0.1],1000,[1.],0.2,"[100, 1, 2]",1,True,True,Models/data/model1001,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",1.33,1.37
1002,0.0001,0.6,10000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",1,True,True,Models/data/model1002,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",6.46,5.77
1003,0.001,0.6,10000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",1,True,True,Models/data/model1003,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",77.35,1.89
1004,0.0001,0.6,100000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",1,True,True,Models/data/model1004,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",102.89,0.81
1005,0.0001,0.6,20000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",1,True,True,Models/data/model1005,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",8.06,6.39
1006,0.0001,0.6,20000,1,[0.1],1000,[1.],0.2,"[10, 1, 2]",1,True,True,Models/data/model1006,0.0,0.1,leaky_relu,0.01,"[[10, [5, 5], [2, 2], 'SAME'], [6, [3, 3], [1, 1], 'SAME'], 100, 100]",6.52,5.77
