Version,Learning rate,Keep rate,num_epochs,n_train,delta_theta,number of simulations,fiducial θ,differentiation fraction,input shape,number of summaries,calculate MLE,prebuild,save file,wv,bb,activation,α,hidden layers,flatten,Final detF train,Final detF test
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,186.88,176.81
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.73,0.73
2,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model2,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.73,0.73
3,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model3,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.16,0.16
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,1.15,1.15
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,8.99,8.99
5,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,13877.79,13877.79
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.54,0.54
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,615.21,617.1
5,1e-10,0.5,10,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,1.99,1.99
5,1e-10,0.5,10,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,19984.01,19850.84
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,1637.99,1614.86
6,1e-10,0.5,100,1,[0.002],10000,[0.211],0.05,[1000],1,True,True,Models/data/model6,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.3,0.3
7,0.001,0.5,100,1,[0.002],10000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,14338.41,13948.43
7,0.001,0.5,100,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,8.67,8.67
7,0.001,0.5,100,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
7,0.001,0.5,100,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,34.69,34.69
7,0.001,0.5,100,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,412.71,411.68
7,0.001,0.5,100,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
7,0.001,0.5,100,1,[0.02],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
7,0.001,0.5,1000,1,[0.02],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
7,0.001,0.5,100,1,[0.02],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,7.77,7.72
7,0.001,0.5,100,1,[0.02],1000,[0.211],0.05,[1000],1,True,True,Models/data/model7,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.35,0.35
9,0.001,0.5,100,1,[0.11],1000,[0.211],0.05,[1000],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,0.001,0.5,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,0.001,0.5,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
9,100.0,0.5,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,100.0,0.5,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,0.01,1.0,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,0.01,1.0,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,0.001,1.0,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,1e-05,1.0,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
9,1e-05,0.9,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,2.13,2.16
9,1e-05,0.9,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.65,0.64
9,1.0,0.9,100,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model9,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
