Version,Learning rate,Keep rate,num_epochs,n_train,delta_theta,number of simulations,fiducial,number of derivative simulations,input shape,dtype,noiseless deriv,number of summaries,filename,activation,α,hidden layers,flatten,Final detF train,Final detF test
1,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model1,leaky_relu,0.01,"[256, 256]",True,,
2,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model2,leaky_relu,0.01,"[256, 256]",True,39416164352.0,16916828160.0
2,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model2,leaky_relu,0.01,"[256, 256]",True,,
2,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model2,leaky_relu,0.01,"[256, 256]",True,,
3,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model3,leaky_relu,0.01,"[256, 256]",True,35173871616.0,19564404736.0
3,0.001,1.0,1,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[600],32,False,2,Models/data/model3,leaky_relu,0.01,"[256, 256]",True,,
3,0.001,1.0,1,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model3,leaky_relu,0.01,"[256, 256]",True,7247999.5,7436415.0
3,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model3,leaky_relu,0.01,"[256, 256]",True,,
3,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[1200],32,False,2,Models/data/model3,leaky_relu,0.01,"[256, 256]",True,37270745088.0,21363267584.0
4,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[600],32,False,2,Models/data/model4,leaky_relu,0.01,"[256, 256]",True,7334398976.0,5052269568.0
3,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[600],32,False,2,Models/data/model3,leaky_relu,0.01,"[256, 256]",True,8481431040.0,4924711936.0
3,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[600],32,False,2,Models/data/model3,leaky_relu,0.01,"[256, 256]",True,8447156736.0,4610693632.0
4,0.001,1.0,1000,5,[0.02 0.02],1000,"[0.315, 0.811]",1000,[600],32,False,2,Models/data/model4,leaky_relu,0.01,"[256, 256]",True,8424228352.00,5748376064.00
